"latitude","MeanPercCover"
34.4433403,11.3781818181818
34.55387878,1.33779761904762
34.73038101,0.0649546827794562
34.88122177,6.71818181818182
35.1688118,0.0207407407407407
35.22690964,0
35.28966141,3.62153846153846
35.44739151,0.408888888888889
35.60414124,0.1
35.63454819,0.375
35.66492844,0.3125
35.72882843,0.0851900393184797
35.97964859,0.49645390070922
36.28060913,2.23657474600871
36.46903992,0.383333333333333
36.51366043,1.82934131736527
36.56087112,0.286549707602339
36.60615921,0.55
36.62120056,4.20503144654088
36.63795853,0.25
36.94841003,2.73081761006289
36.94915009,0.86
36.9801712,6.3858407079646
37.02207947,0.7375
37.04425049,1.36503496503497
38.31819916,1.82926829268293
38.73049927,0.344226579520697
39.60411835,2.31566265060241
40.02254105,2.76883116883117
40.3409996,2.00666666666667
41.59476089,9.85692307692308
41.65248871,5.08443708609272
41.68999863,9.8015873015873
